"";"id";"n_victimas";"fecha";"hora";"lugar_del_hecho";"tipo_de_calle";"calle";"altura";"cruce";"dirección_normalizada";"comuna";"pos_x";"pos_y";"participantes";"victima";"acusado";"data_geo";"fecha_hora";"es_cruce"
0;"2016-0001";1;"2016-01-01";"04:00:00";"AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ";"AVENIDA";"PIEDRA BUENA AV.";"ESQ";"FERNANDEZ DE LA CRUZ, F., GRAL. AV.";"AV PIEDRA BUENA Y AV FERNANDEZ DE LA CRUZ";"8";-58.47533969;-34.68757022;"MOTO-AUTO";"MOTO";"AUTO";True;"2016-01-01 04:00:00";True
1;"2016-0002";1;"2016-01-02";"01:15:00";"AV GRAL PAZ  Y AV DE LOS CORRALES";"GRAL PAZ";"PAZ, GRAL. AV.";"ESQ";"DE LOS CORRALES AV.";"AV GRAL PAZ  Y AV DE LOS CORRALES";"9";-58.50877521;-34.66977709;"AUTO-PASAJEROS";"AUTO";"PASAJEROS";True;"2016-01-02 01:15:00";True
2;"2016-0003";1;"2016-01-03";"07:00:00";"AV ENTRE RIOS 2034";"AVENIDA";"ENTRE RIOS AV.";"2034";"N_A";"AV ENTRE RIOS 2034";"1";-58.39040293;-34.63189362;"MOTO-AUTO";"MOTO";"AUTO";True;"2016-01-03 07:00:00";False
3;"2016-0004";1;"2016-01-10";"00:00:00";"AV LARRAZABAL Y GRAL VILLEGAS CONRADO";"AVENIDA";"LARRAZABAL AV.";"ESQ";"VILLEGAS, CONRADO, GRAL.";"AV LARRAZABAL Y GRAL VILLEGAS CONRADO";"8";-58.46503904;-34.68092974;"MOTO-SD";"MOTO";"SD";True;"2016-01-10 00:00:00";True
4;"2016-0005";1;"2016-01-21";"05:20:00";"AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ";"AVENIDA";"SAN JUAN AV.";"ESQ";"SAENZ PE?A, LUIS, PRES.";"AV SAN JUAN Y PRESIDENTE LUIS SAENZ PEÑA ";"1";-58.38718297;-34.6224663;"MOTO-PASAJEROS";"MOTO";"PASAJEROS";True;"2016-01-21 05:20:00";True
5;"2016-0008";1;"2016-01-24";"18:30:00";"AV 27 DE FEBRERO Y AV ESCALADA";"AVENIDA";"27 DE FEBRERO AV.";"ESQ";"ESCALADA AV.";"AV 27 DE FEBRERO Y AV ESCALADA";"8";-58.44451316;-34.68475866;"MOTO-OBJETO FIJO";"MOTO";"OBJETO FIJO";True;"2016-01-24 18:30:00";True
6;"2016-0009";1;"2016-01-24";"19:10:00";"NOGOYA Y JOAQUIN V. GONZALES";"CALLE";"NOGOYA";"ESQ";"GONZALEZ, JOAQUIN V.";"NOGOYA Y JOAQUIN V. GONZALES";"11";-58.50095869;-34.6082544;"MOTO-AUTO";"MOTO";"AUTO";True;"2016-01-24 19:10:00";True
7;"2016-0010";1;"2016-01-29";"15:20:00";"AV GENERAL PAZ Y AV DE LOS CORRALES";"GRAL PAZ";"PAZ, GRAL. AV.";"ESQ";"DE LOS CORRALES AV.";"AV GENERAL PAZ Y AV DE LOS CORRALES";"9";-58.50877521;-34.66977709;"MOTO-AUTO";"MOTO";"AUTO";True;"2016-01-29 15:20:00";True
8;"2016-0012";1;"2016-02-08";"01:20:00";"AV BELGRANO Y BERNARDO DE IRIGOYEN";"AVENIDA";"BELGRANO AV.";"ESQ";"IRIGOYEN, BERNARDO DE";"AV BELGRANO Y BERNARDO DE IRIGOYEN";"1";-58.38048577;-34.61303893;"MOTO-CARGAS";"MOTO";"CARGAS";True;"2016-02-08 01:20:00";True
9;"2016-0013";1;"2016-02-10";"11:30:00";"AV ENTRE RIOS 1366";"AVENIDA";"ENTRE RIOS AV.";"1366";"N_A";"AV ENTRE RIOS 1366";"1";-58.39114932;-34.62477387;"PEATON-AUTO";"PEATON";"AUTO";True;"2016-02-10 11:30:00";False
